Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Finland,2.43,-9.59,-9.59,-5.05,1.05,7.52,12.86,15.90,13.93,8.78,2.37,-3.00,-6.84
"Western Finland",4.31,-6.49,-6.90,-2.97,2.92,9.03,13.68,16.58,15.08,10.11,4.24,-0.42,-3.98
"Southern Finland",4.98,-6.11,-6.52,-2.51,3.66,9.84,14.42,17.44,16.01,10.93,4.96,0.20,-3.38
Oulu,1.98,-10.43,-10.35,-5.63,0.50,7.17,12.74,15.74,13.62,8.37,1.91,-3.40,-7.34
Lapland,-0.31,-13.19,-12.74,-7.84,-1.67,4.89,10.97,14.20,11.80,6.66,-0.38,-6.67,-10.59
"Eastern Finland",3.58,-8.67,-8.76,-3.98,2.19,8.92,14.13,17.12,15.14,9.82,3.53,-1.61,-5.74
Aaland,6.34,-1.74,-2.92,-0.69,3.86,8.50,13.04,16.81,16.15,11.98,6.80,3.23,0.39
