Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"French Polynesia",21.95,23.14,23.13,23.21,22.76,21.94,21.01,20.51,20.48,20.78,21.41,22.27,22.80
"Administrative unit not available",24.25,25.17,25.26,25.39,25.07,24.33,23.53,23.02,22.93,23.20,23.75,24.46,24.93
