Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Pitcairn Islands",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Administrative unit not available",20.56,22.77,23.41,23.21,21.81,20.19,19.07,18.33,18.06,18.43,19.28,20.50,21.85
