Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Belgium,10.67,3.19,3.69,6.62,9.77,13.52,16.55,18.62,18.44,15.05,11.03,6.80,4.22
"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes",11.14,3.62,4.37,7.06,10.45,14.05,17.00,19.05,18.89,15.62,11.40,7.31,4.36
"Vlaams Gewest",11.11,3.92,4.32,7.12,10.20,13.85,16.74,18.84,18.73,15.49,11.49,7.45,4.65
"Region wallonne",10.33,2.63,3.21,6.25,9.45,13.27,16.41,18.45,18.22,14.71,10.67,6.30,3.91
