Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Nepal,14.20,5.17,7.02,11.39,15.41,18.33,20.16,20.31,20.10,18.81,15.33,10.96,7.02
Western,12.98,4.20,5.82,10.27,14.10,16.97,18.86,19.22,18.95,17.65,13.90,9.60,5.84
"Mid Western",10.67,0.83,2.82,7.09,11.64,15.06,17.45,17.92,17.56,15.86,11.55,6.95,2.90
"Far Western",15.58,5.67,7.96,12.54,17.51,20.72,22.18,21.81,21.48,20.10,16.55,12.11,7.90
Eastern,15.54,7.57,9.19,13.37,16.51,18.78,20.48,20.53,20.61,19.58,17.11,12.98,9.37
Central,18.42,9.98,11.72,16.21,19.82,22.43,23.76,23.66,23.55,22.71,19.81,15.54,11.49
