Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Czech Republic",8.61,-1.33,-0.09,3.55,8.73,13.22,16.64,18.50,18.17,13.45,8.49,3.65,-0.22
Zapadocesky,7.95,-1.53,-0.56,2.98,7.97,12.33,15.74,17.72,17.30,12.70,7.67,2.96,-0.43
Vychodocesky,8.47,-1.52,-0.21,3.28,8.59,13.09,16.46,18.28,18.05,13.37,8.55,3.55,-0.41
Stredocesky,9.19,-0.77,0.54,4.23,9.42,13.86,17.23,19.13,18.72,13.96,8.82,4.13,0.48
Severomoravsky,8.40,-1.74,-0.48,3.17,8.47,12.96,16.45,18.26,18.13,13.40,8.71,3.67,-0.75
Severocesky,8.70,-0.98,0.27,3.63,8.77,13.22,16.43,18.45,18.10,13.50,8.51,3.66,0.24
Praha,9.40,-0.59,0.70,4.50,9.65,14.09,17.44,19.42,18.96,14.17,8.95,4.31,0.67
Jihomoravsky,9.05,-1.37,0.09,3.99,9.31,13.90,17.36,19.16,18.88,14.03,8.97,3.97,-0.29
Jihocesky,8.28,-1.38,-0.34,3.30,8.25,12.81,16.39,18.10,17.63,12.91,8.00,3.42,-0.34
