Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Belize,25.70,23.03,23.81,25.07,26.61,27.43,27.63,27.03,27.14,27.04,26.13,24.06,23.38
Belize,26.22,23.75,24.51,25.58,26.95,27.74,27.93,27.59,27.71,27.49,26.61,24.76,23.95
Cayo,25.09,22.18,22.97,24.35,26.15,27.04,27.30,26.35,26.43,26.41,25.56,23.43,22.88
Corozal,26.27,23.97,24.94,25.70,27.05,27.90,27.85,27.79,27.77,27.60,26.46,24.49,23.65
"Orange Walk",26.08,23.37,24.25,25.42,27.11,27.84,27.94,27.48,27.55,27.41,26.50,24.41,23.63
"Stann Creek",25.59,22.93,23.49,24.91,26.49,27.31,27.55,26.85,27.09,26.98,26.09,23.94,23.34
Toledo,25.45,22.75,23.50,24.96,26.29,27.12,27.43,26.70,26.85,26.86,25.95,23.75,23.19
