Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Turkmenistan,16.63,2.74,4.47,10.40,17.24,23.37,28.48,30.72,29.04,23.24,16.03,8.95,4.14
Ahal,17.20,3.32,4.82,10.82,17.84,23.74,29.26,31.60,29.68,24.03,16.60,9.33,4.57
Tashauz,15.06,-0.54,1.59,8.59,16.36,23.22,28.40,30.39,28.31,21.93,14.16,6.53,0.91
Mary,17.20,4.44,6.29,11.67,18.04,23.49,28.25,30.29,28.13,22.64,16.42,10.12,5.89
"Administrative unit not available",15.90,2.77,3.68,8.70,14.91,21.36,26.70,29.48,29.17,23.45,16.13,9.14,4.50
Balkan,16.63,2.65,4.04,9.65,16.28,22.88,28.16,30.78,30.09,24.26,16.56,9.18,4.22
Chardzhou,16.90,3.18,5.34,11.45,18.23,24.02,28.73,30.64,28.46,22.70,15.88,9.02,4.39
